"","Crew","Site","SiteCode","DissolvedOxygen","WaterTemp","Volume","Comments","UnitLength","MaxDepth","Tributary","PoolStudyDate","SampleNumber","AvgWidth","AvgDepth","RiffleCrestThalweg","RiffleLength","PoolTailCrest","Canopy","AlgaeColor","AlgaeCover","RiffleAvgWidth","RiffleAvgDepth","Discharge_cfs","Connected","PoolArea","RiffleArea","Year","DischargeComments","TripID","HabitatID","CohoYOY_Pass1","CohoParr_Pass1","SteelheadYOY_Pass1","SteelheadParr_Pass1","Date_Pass1","CohoYOY_Pass2","CohoParr_Pass2","SteelheadYOY_Pass2","SteelheadParr_Pass2","Date_Pass2","Observers_Pass1","Observers_Pass2","Average_DO","Average_Temperature","Min_DO","Max_DO","Max_Temperature","ReachType","CohoYOY_MAX","SteelheadYOY_MAX","SteelheadParr_MAX","NA.","NA..1"
"1","TC ER SN CO","PS-GRE-P1","RR-GRE-012.04",9.01,14.9,16.565368,"Training. Surface flow into riffle from Trib3. ",28.59024,61.2648,"Green Valley Creek","2017-06-08",1,2.959947,19.574927,7.0104,9.4488,15.24,85,"B",2,1.43256,NA,NA,NA,84.625548,13.535967,2017,NA,"PSRR-GRE-12.042017060853337","HPSRR-GRE-12.042017060853337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89833333333334,15.0876190476191,8.69,9.05,15.18,"bedrock",0,0,0,NA,NA
"2","TC ER SN CO","PS-GRE-P2","RR-GRE-012.79",9.18,14.6,20.131831,"Training ",16.48968,67.056,"Green Valley Creek","2017-06-08",1,4.74726,25.7175,NA,3.84048,6.096,85,"B",2,2.80416,NA,NA,NA,78.280765,10.769316,2017,NA,"PSRR-GRE-12.792017060841520","HPSRR-GRE-12.792017060841520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.30309090909091,14.8734545454546,8.95,9.55,15,"alluvial",0,0,0,NA,NA
"3","ER CO  ","PS-GRE-P3","RR-GRE-013.91",8.32,13.6,10.914232,NA,14.26464,61.2648,"Green Valley Creek","2017-06-12",1,3.17754,24.0792,7.0104,5.76072,7.62,95,"B",2,1.64592,NA,0.65977144628537,NA,45.326445,9.48168,2017,"At riffle transect 2","PSRR-GRE-13.912017061285203","HPSRR-GRE-13.912017061285203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22178571428571,14.57,7.65,8.51,15.06,"clay",0,0,0,NA,NA
"4","ER CO  ","PS-GRE-P4","RR-GRE-014.12",8.7,14.1,16.849825,NA,22.79904,51.2064,"Green Valley Creek","2017-06-12",1,3.805646,19.420088,9.7536,3.53568,15.24,90,"B",2,2.40792,NA,0.551247371618541,NA,86.76503,8.513631,2017,NA,"PSRR-GRE-14.122017061291428","HPSRR-GRE-14.122017061291428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5725,14.7291666666667,8.17,8.77,15.26,"clay",0,0,0,NA,NA
"5","ER CO  ","PS-MIL-P1","RR-MIL-000.31",8.99,18.2,35.725671,NA,41.69664,61.2648,"Mill Creek","2017-06-13",1,3.20802,26.7081,15.8496,3.5052,14.9352,85,"B",2,3.71856,NA,5.27673766103901,NA,133.763597,13.034291,2017,NA,"PSRR-MIL-0.312017061387585","HPSRR-MIL-0.312017061387585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46684210526316,17.8363157894737,8.23,8.99,18.56,"alluvial",0,0,0,NA,NA
"6","ER CO  ","PS-MIL-P2","RR-MIL-000.57",9,16.9,26.582347,NA,19.2024,72.8472,"Mill Creek","2017-06-13",1,4.46913,30.9753,12.4968,9.50976,15.5448,90,"B",2,3.80492,NA,5.33033623132528,NA,85.817985,36.18386,2017,NA,"PSRR-MIL-0.572017061384129","HPSRR-MIL-0.572017061384129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41857142857143,17.7057142857143,8.08,9,18.58,"alluvial",0,0,0,NA,NA
"7","ER CO  ","PS-MIL-P3","RR-MIL-006.59",9.91,14.5,63.395082,NA,33.8328,78.0288,"Mill Creek","2017-06-13",1,5.53212,33.8709,25.908,3.16992,12.192,95,"B",2,2.69748,NA,5.41754630364293,NA,187.167029,8.550792,2017,NA,"PSRR-MIL-6.592017061376273","HPSRR-MIL-6.592017061376273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3692,16.298,9.15,9.91,17.26,"bedrock",0,0,0,NA,NA
"8","ER CO  ","PS-MIL-P4","RR-MIL-013.39",9.5,13.1,33.68572,NA,19.56816,98.7552,"Mill Creek","2017-06-13",1,4.16814,41.3004,15.24,12.86256,10.668,80,"B",2,4.24688,NA,1.70348705170452,NA,81.562795,54.625724,2017,NA,"PSRR-MIL-13.392017061369583","HPSRR-MIL-13.392017061369583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12881355932204,14.8810169491525,8.85,9.58,15.68,"bedrock",0,0,0,NA,NA
"9","ER CO  ","PS-DUT-P1","RR-DUT-001.96",8.12,16.4,45.792948,"Adjusted gage .08 higher due to loose zip tie. Missing t2 and t3 lb flagging, reflagged. Digital counter malfunctioned, moved cross section upstream, 2 ft upstream of intermittency logger, to count spins more accurately in slower, shallower water.",40.72128,100.8888,"Dutch Bill Creek","2017-06-15",1,4.01574,28.0035,11.2776,8.16864,10.3632,90,NA,1,1.4224,NA,2.03227833240098,NA,163.526003,11.619067,2017,"Digital counter malfunctioned. Used stop watch and moved cross section upstream to accurately count spins in slower and shallower water. Measured about 2 feet upstream of intermittency logger.","PSRR-DUT-1.962017061561417","HPSRR-DUT-1.962017061561417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71578947368421,15.9521052631579,7.19,8.19,16.42,"alluvial",0,0,0,NA,NA
"10","ER CO  ","PS-DUT-P2","RR-DUT-002.79",7.48,15.4,20.308041,NA,25.87752,56.388,"Dutch Bill Creek","2017-06-15",1,3.29565,23.8125,11.5824,12.954,10.9728,80,NA,1,2.45872,NA,1.43886112216271,NA,85.283212,31.850243,2017,NA,"PSRR-DUT-2.792017061555954","HPSRR-DUT-2.792017061555954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.30739130434783,15.6504347826087,6.97,7.68,15.86,"alluvial",0,0,0,NA,NA
"11","ER CO  ","PS-DUT-P3","RR-DUT-004.40",8.54,14.3,24.059904,"Staff plate had sank down over .13 feet. Erco adjusted staff plate to be more accurate. ",24.44496,52.1208,"Dutch Bill Creek","2017-06-15",1,5.1054,19.2786,20.1168,14.9352,17.0688,90,NA,1,2.52984,NA,1.61044640493178,NA,124.801245,37.78365,2017,NA,"PSRR-DUT-4.402017061542550","HPSRR-DUT-4.402017061542550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.58203389830508,15.7359322033898,8.04,8.93,16.36,"alluvial",0,0,0,NA,NA
"12","ER CO  ","PS-DUT-P4","RR-DUT-007.10",9.58,14.1,44.449126,NA,37.4904,96.9264,"Dutch Bill Creek","2017-06-15",1,5.17779,22.8981,15.5448,7.0104,9.144,95,NA,1,3.51536,NA,1.05991085509285,NA,194.117335,24.644068,2017,NA,"PSRR-DUT-7.102017061550731","HPSRR-DUT-7.102017061550731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12183673469388,16.074693877551,8.44,9.88,17.14,"bedrock",0,0,0,NA,NA
"13","ER WB  ","PS-GRE-P1","RR-GRE-012.04",7.91,17.4,14.07534,NA,28.59024,59.7408,"Green Valley Creek","2017-06-26",2,2.72034,18.0975,4.8768,9.4488,10.9728,NA,"B",2,1.56464,NA,0.567891435203436,"BOTH",77.77514,14.783963,2017,NA,"PSRR-GRE-12.042017062697235","HPSRR-GRE-12.042017062697235",32,0,38,0,42912,30,0,56,0,2017-06-28,"WB","TC",7.83333333333333,17.673125,7.48,8.18,18.6,"bedrock",32,56,0,NA,NA
"14","ER WB  ","PS-GRE-P2","RR-GRE-012.79",9.57,18.7,17.017687,"DO logger housing covered in algae ",16.48968,64.008,"Green Valley Creek","2017-06-26",2,4.59105,22.479,7.9248,3.84048,4.8768,NA,"B",5,2.40792,NA,0.452256165976574,"BOTH",75.704913,9.247565,2017,NA,"PSRR-GRE-12.792017062604735","HPSRR-GRE-12.792017062604735",42,0,24,0,42912,32,0,22,0,2017-06-28,"WB","TC",8.64197916666667,17.3785416666667,7.75,10.13,18.62,"alluvial",42,24,0,NA,NA
"15","ER WB  ","PS-GRE-P3","RR-GRE-013.91",7.33,17.5,9.070449,NA,14.26464,66.7512,"Green Valley Creek","2017-06-26",2,3.02895,20.9931,5.4864,5.76072,5.1816,NA,"B",2,1.54432,NA,0.356087699651256,"BOTH",43.206863,8.89639,2017,NA,"PSRR-GRE-13.912017062611401","HPSRR-GRE-13.912017062611401",14,0,14,0,42912,20,0,10,0,2017-06-28,"WB","TC",6.87333333333333,16.9954166666667,6.46,7.34,17.6,"clay",20,14,0,NA,NA
"16","ER WB  ","PS-GRE-P4","RR-GRE-014.12",8.48,18.2,13.471095,NA,22.79904,49.0728,"Green Valley Creek","2017-06-26",2,3.6576,16.1544,10.9728,3.53568,4.572,NA,"B",2,1.60528,NA,0.271644468961343,"BOTH",83.389733,5.675753,2017,NA,"PSRR-GRE-14.122017062615646","HPSRR-GRE-14.122017062615646",34,0,14,2,42912,51,0,27,0,2017-06-28,"WB","TC",8.21135416666667,17.11,7.85,8.62,18.22,"clay",51,27,2,NA,NA
"17","ER NB  ","PS-MIL-P1","RR-MIL-000.31",9.11,20.5,33.379518,NA,41.69664,58.8264,"Mill Creek","2017-06-27",2,3.08991,25.908,14.6304,3.5052,12.8016,NA,"M",2,2.80416,NA,3.17291716378238,"BOTH",128.838809,9.829137,2017,NA,"PSRR-MIL-0.312017062798041","HPSRR-MIL-0.312017062798041",0,0,48,6,42913,0,0,80,2,2017-06-28,"NB","TC",8.36333333333334,18.7891666666667,7.84,9.17,20.62,"alluvial",0,80,6,NA,NA
"18","ER NB  ","PS-MIL-P2","RR-MIL-000.57",8.59,20.7,23.619163,NA,19.2024,68.8848,"Mill Creek","2017-06-27",2,4.23672,29.0322,9.4488,9.50976,10.0584,NA,"B",2,3.64744,NA,3.26987751901362,"BOTH",81.355157,34.686262,2017,NA,"PSRR-MIL-0.572017062701644","HPSRR-MIL-0.572017062701644",4,0,36,0,42913,4,0,38,0,2017-06-28,"NB","TC",8.00708333333333,18.6695833333333,7.53,8.67,20.68,"alluvial",4,38,0,NA,NA
"19","ER NB  ","PS-MIL-P3","RR-MIL-006.59",9.55,18.3,61.088684,NA,33.8328,82.9056,"Mill Creek","2017-06-27",2,5.49783,32.8422,21.9456,3.16992,12.8016,NA,NA,1,2.69748,NA,3.18631842260119,"BOTH",186.006903,8.550792,2017,"Pool study measurement.","PSRR-GRE-13.912017062790596","HPSRR-GRE-13.912017062790596",160,0,48,0,42913,172,0,54,0,2017-06-28,"NB","TC",9.16739583333334,18.0829166666667,8.81,9.61,20.22,"bedrock",172,54,0,NA,NA
"20","ER NB  ","PS-MIL-P3","RR-MIL-006.59",9.55,18.3,61.088684,NA,33.8328,82.9056,"Mill Creek","2017-06-27",2,5.49783,32.8422,21.9456,3.16992,12.8016,NA,NA,1,2.69748,NA,3.55606578136246,"BOTH",186.006903,8.550792,2017,"SCWA Pygmy meter. Discharge underestimated.","PSRR-GRE-13.912017062790596","HPSRR-GRE-13.912017062790596",160,0,48,0,42913,172,0,54,0,2017-06-28,"NB","TC",9.16739583333334,18.0829166666667,8.81,9.61,20.22,"bedrock",172,54,0,NA,NA
"21","ER NB  ","PS-MIL-P4","RR-MIL-013.39",9.33,16,32.441426,"Moved max depth marker from near staff plate to near center channel lwd. We reflagged riffle crest thalweg depth location because no flag was present.",19.56816,97.2312,"Mill Creek","2017-06-27",2,4.27863,38.7477,17.0688,12.86256,9.144,NA,"B",2,4.19608,NA,1.45339288092924,"BOTH",83.72488,53.972305,2017,NA,"PSRR-MIL-13.392017062783670","HPSRR-MIL-13.392017062783670",116,0,24,0,42913,122,0,26,0,2017-06-28,"WB","TC",8.92416666666667,16.6929166666667,8.6,9.33,18,"bedrock",122,26,0,NA,NA
"22","AB LH ER ","PS-DUT-P1","RR-DUT-001.96",8.16,17.6,39.36069,"Did not take flow because Pygmy broken. ",40.72128,96.6216,"Dutch Bill Creek","2017-06-29",2,3.90906,24.7269,9.7536,8.16864,8.8392,NA,"B",1,1.38176,NA,NA,"BOTH",159.181858,11.287094,2017,NA,"PSRR-DUT-1.962017062972165","HPSRR-DUT-1.962017062972165",0,0,1,0,42914,0,0,2,0,2017-06-29,"TC","ER",7.93875,16.0589583333333,7.31,8.72,17.58,"alluvial",0,2,0,NA,NA
"23","AB LH ER ","PS-DUT-P2","RR-DUT-002.79",6.53,17.1,20.392747,"Flow meter broken ",25.87752,56.6928,"Dutch Bill Creek","2017-06-29",2,3.3147,23.7744,9.7536,12.954,9.144,NA,"M",2,2.34696,NA,NA,"BOTH",85.776179,30.402507,2017,NA,"PSRR-DUT-2.792017062969069","HPSRR-DUT-2.792017062969069",0,0,9,0,42914,0,0,3,0,2017-06-29,"TC","ER",6.3196875,16.6308333333333,6.08,6.73,17.2,"alluvial",0,9,0,NA,NA
"24","AB LH ER ","PS-DUT-P3","RR-DUT-004.40",8.83,17.2,22.916594,"Weren't able to take flow because Pygmy 2 broke. Not sure how, we were delicate. Appears cuff below blade broke and was completely missing.",24.44496,48.768,"Dutch Bill Creek","2017-06-29",2,5.02158,18.669,18.5928,14.9352,16.4592,NA,"B",2,2.50952,NA,NA,"BOTH",122.752269,37.480165,2017,NA,"PSRR-DUT-4.402017062964626","HPSRR-DUT-4.402017062964626",126,0,15,0,42914,78,0,8,4,2017-06-29,"TC","ER",8.26552083333333,16.5341666666667,7.93,8.93,17.66,"alluvial",126,15,4,NA,NA
"25","ER AB LH ","PS-DUT-P4","RR-DUT-007.10",9.5,15.1,46.441223,NA,37.4904,95.7072,"Dutch Bill Creek","2017-06-29",2,5.12826,24.1554,14.9352,7.0104,7.9248,NA,"B",2,3.05816,NA,1.31130127325438,"BOTH",192.260436,21.438915,2017,NA,"PSRR-DUT-7.102017062956913","HPSRR-DUT-7.102017062956913",156,0,16,4,42914,114,3,18,6,2017-06-29,"TC","ER",8.96020833333333,16.0397916666667,8.2,9.71,17.78,"bedrock",156,18,6,NA,NA
"26","CO SF ER ","PS-GRE-P3","RR-GRE-013.91",5.9,17.4,8.922127,NA,14.26464,64.6176,"Green Valley Creek","2017-07-10",3,2.97942,20.9931,4.572,5.76072,5.4864,NA,"B",2,1.17856,NA,0.19866523593756,"BOTH",42.500335,6.78935,2017,NA,"PSRR-GRE-13.912017071016140","HPSRR-GRE-13.912017071016140",10,0,6,0,42926,18,0,10,0,2017-07-12,"ER","TC",5.7359375,17.335625,5.46,6.18,18.32,"clay",18,10,0,NA,NA
"27","ER CO SF ","PS-GRE-P1","RR-GRE-012.04",7.32,16.7,11.414825,NA,28.59024,59.1312,"Green Valley Creek","2017-07-10",3,2.50698,15.9258,4.572,9.4488,8.5344,NA,"B",2,1.53416,NA,0.335141891391097,"BOTH",71.675129,14.495964,2017,NA,"PSRR-GRE-12.042017071003000","HPSRR-GRE-12.042017071003000",46,0,54,0,42926,36,0,26,0,2017-07-12,"CO","TC",7.44604166666666,17.795,7.09,7.8,19.24,"bedrock",46,54,0,NA,NA
"28","ER CO SF ","PS-GRE-P2","RR-GRE-012.79",7.22,16.9,16.132753,NA,16.48968,63.0936,"Green Valley Creek","2017-07-10",3,4.55295,21.4884,6.7056,3.84048,3.9624,NA,"B",4,2.51968,NA,0.16487781482399,"BOTH",75.076656,9.676776,2017,NA,"PSRR-GRE-12.792017071009780","HPSRR-GRE-12.792017071009780",56,0,32,0,42926,44,0,40,0,2017-07-12,"CO","TC",6.83260416666667,17.499375,5.64,8.24,19.42,"alluvial",56,40,0,NA,NA
"29","ER CO SF ","PS-GRE-P4","RR-GRE-014.12",7.42,17.9,12.987984,NA,22.79904,51.816,"Green Valley Creek","2017-07-10",3,3.675017,15.501244,7.9248,3.53568,3.6576,NA,"B",2,1.65608,NA,0.155936787834876,"BOTH",83.786821,5.855366,2017,NA,"PSRR-GRE-14.122017071020580","HPSRR-GRE-14.122017071020580",38,0,6,0,42926,58,0,12,0,2017-07-12,"ER","TC",7.095,17.509375,6.26,7.63,19.08,"clay",58,12,0,NA,NA
"30","ER CO SF ","PS-DUT-P1","RR-DUT-001.96",7.02,15.4,38.659749,NA,40.72128,96.9264,"Dutch Bill Creek","2017-07-11",3,3.53949,26.8224,7.0104,8.16864,6.4008,NA,"B",2,1.25984,NA,0.51954270982691,"BOTH",144.132501,10.291174,2017,NA,"PSRR-DUT-1.962017071190292","HPSRR-DUT-1.962017071190292",1,0,2,0,42927,0,0,8,0,2017-07-12,"ER","TC",8.21104166666667,16.204375,6.86,9.68,17.56,"alluvial",1,8,0,NA,NA
"31","ER CO SF ","PS-DUT-P2","RR-DUT-002.79",4.47,16.7,17.896995,"Staff depth is deepest spot ",25.87752,54.864,"Dutch Bill Creek","2017-07-11",3,3.2766,21.1074,7.3152,12.954,7.0104,NA,"B",3,2.07264,NA,0.304921906660795,"BOTH",84.790246,26.848967,2017,NA,"PSRR-DUT-2.792017071195142","HPSRR-DUT-2.792017071195142",0,0,2,0,42927,0,0,3,0,2017-07-12,"ER","TC",4.58864583333333,16.7775,4.16,4.98,17.72,"alluvial",0,3,0,NA,NA
"32","ER CO SF ","PS-DUT-P3","RR-DUT-004.40",8.21,18.2,21.211209,NA,24.44496,49.9872,"Dutch Bill Creek","2017-07-11",3,4.8768,17.7927,15.5448,14.9352,15.5448,NA,"B",2,2.286,NA,NA,"BOTH",119.21313,34.141853,2017,NA,"PSRR-DUT-4.402017071101446","HPSRR-DUT-4.402017071101446",78,0,34,0,42927,64,0,20,0,2017-07-12,"CO","TC",7.52520833333333,17.225,6.77,8.33,18.22,"alluvial",78,34,0,NA,NA
"33","ER CO SF ","PS-DUT-P4","RR-DUT-007.10",9.19,17.6,44.023933,NA,37.4904,95.0976,"Dutch Bill Creek","2017-07-11",3,5.12826,22.8981,12.192,7.0104,8.8392,NA,"B",2,2.4892,NA,0.22845380438431,"BOTH",192.260436,17.450279,2017,NA,"PSRR-GRE-14.122017071106440","HPSRR-GRE-14.122017071106440",132,0,12,2,42927,144,0,24,0,2017-07-12,"CO","TC",8.6646875,17.03625,6.71,9.78,18.1,"bedrock",144,24,2,NA,NA
"34","LH ER  ","PS-MIL-P1","RR-MIL-000.31",8.61,17.2,29.289819,"Max depth= staff gauge at deepest spot",41.69664,59.7408,"Mill Creek","2017-07-13",3,3.01752,23.2791,12.192,3.5052,9.4488,NA,"B",4,1.8288,NA,1.61171888830183,"BOTH",125.820391,6.410307,2017,NA,"PSRR-MIL-0.312017071362500","HPSRR-MIL-0.312017071362500",0,0,57,6,42928,2,0,40,4,2017-07-13,"TC","ER",8.23989583333333,18.4929166666667,7.38,9.59,20.04,"alluvial",2,57,6,NA,NA
"35","LH ER  ","PS-MIL-P2","RR-MIL-000.57",8.2,17.3,20.755018,"changed pool length from 54.1",19.2024,66.1416,"Mill Creek","2017-07-13",3,4.09956,26.3652,6.7056,9.50976,8.5344,NA,"B",2,3.06832,NA,1.61744217708629,"BOTH",78.721357,29.178972,2017,NA,"PSRR-MIL-0.572017071368080","HPSRR-MIL-0.572017071368080",4,0,34,4,42928,6,0,39,0,2017-07-13,"TC","ER",7.95395833333333,18.33,7.4,8.68,20.26,"alluvial",6,39,4,NA,NA
"36","LH ER  ","PS-MIL-P3","RR-MIL-006.59",9.45,18.6,55.494932,"Staff depth is max depth AM- Changed Pool Length from 46.8",33.8328,80.4672,"Mill Creek","2017-07-13",3,5.39496,30.4038,18.288,5.76072,10.3632,NA,"B",1,1.95072,NA,2.46940182606857,"BOTH",182.526524,11.237547,2017,NA,"PSRR-MIL-6.592017071376540","HPSRR-MIL-6.592017071376540",166,0,44,0,42928,176,0,34,0,2017-07-13,"TC","ER",8.9165625,18.2908333333333,8.13,9.54,20.66,"bedrock",176,44,0,NA,NA
"37","LH ER  ","PS-MIL-P4","RR-MIL-013.39",9.11,18.5,33.197603,"AM- Changed pool length from 74.8",19.56816,89.0016,"Mill Creek","2017-07-13",3,4.23672,40.0431,14.6304,12.86256,7.3152,NA,"B",2,4.18592,NA,0.966772253450235,"BOTH",82.904779,53.841623,2017,NA,"PSRR-MIL-13.392017071381880","HPSRR-MIL-13.392017071381880",138,0,33,0,42928,150,0,16,2,2017-07-13,"TC","ER",9.0221875,17.35375,8.63,9.69,18.48,"bedrock",150,33,2,NA,NA
"38","CO ER SF ","PS-GRE-P1","RR-GRE-012.04",7.14,18.1,11.963228,"T4 reflagged right bank",28.59024,56.0832,"Green Valley Creek","2017-07-24",4,2.44602,17.1069,3.3528,9.4488,6.096,NA,"B",2,1.39192,NA,0.166720963438823,"BOTH",69.932269,13.151966,2017,NA,"PSRR-GRE-12.042017072423160","HPSRR-GRE-12.042017072423160",44,0,36,0,42940,36,0,30,0,2017-07-26,"SB","TC",7.04583333333333,17.430625,6.3,7.55,18.68,"bedrock",44,36,0,NA,NA
"39","ER CO SF ","PS-GRE-P2","RR-GRE-012.79",7.82,18.6,15.179216,NA,16.48968,61.5696,"Green Valley Creek","2017-07-24",4,4.54152,20.2692,5.7912,3.84048,3.9624,NA,"B",2,1.91008,NA,0.0806045435732849,"BOTH",74.888179,7.33562,2017,NA,"PSRR-GRE-12.792017072432160","HPSRR-GRE-12.792017072432160",30,0,70,0,42940,42,0,30,0,2017-07-26,"SB","TC",6.66270833333333,17.18125,5.38,8.26,19.42,"alluvial",42,70,0,NA,NA
